file_name,stem,extension,path,relative_path,size_mb,modified_at
DJI_20260510132326_0007_V.JPG,DJI_20260510132326_0007_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132326_0007_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132326_0007_V.JPG,0.902,2026-06-08 10:31:17
DJI_20260510132346_0008_V.JPG,DJI_20260510132346_0008_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132346_0008_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132346_0008_V.JPG,0.889,2026-06-08 10:31:18
DJI_20260510132400_0009_V.JPG,DJI_20260510132400_0009_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132400_0009_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132400_0009_V.JPG,1.031,2026-06-08 10:31:18
DJI_20260510132416_0010_V.JPG,DJI_20260510132416_0010_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132416_0010_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132416_0010_V.JPG,1.135,2026-06-08 10:31:18
DJI_20260510132428_0011_V.JPG,DJI_20260510132428_0011_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132428_0011_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E68\DJI_20260510132428_0011_V.JPG,1.024,2026-06-08 10:31:18
DJI_20260510132440_0012_V.JPG,DJI_20260510132440_0012_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132440_0012_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132440_0012_V.JPG,0.969,2026-06-08 10:31:19
DJI_20260510132500_0013_V.JPG,DJI_20260510132500_0013_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132500_0013_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132500_0013_V.JPG,0.839,2026-06-08 10:31:19
DJI_20260510132512_0014_V.JPG,DJI_20260510132512_0014_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132512_0014_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132512_0014_V.JPG,0.932,2026-06-08 10:31:19
DJI_20260510132531_0015_V.JPG,DJI_20260510132531_0015_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132531_0015_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132531_0015_V.JPG,1.116,2026-06-08 10:31:20
DJI_20260510132545_0016_V.JPG,DJI_20260510132545_0016_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132545_0016_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E69\DJI_20260510132545_0016_V.JPG,1.012,2026-06-08 10:31:20
DJI_20260510132606_0017_V.JPG,DJI_20260510132606_0017_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132606_0017_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132606_0017_V.JPG,1.288,2026-06-08 10:31:20
DJI_20260510132625_0018_V.JPG,DJI_20260510132625_0018_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132625_0018_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132625_0018_V.JPG,1.244,2026-06-08 10:31:21
DJI_20260510132638_0019_V.JPG,DJI_20260510132638_0019_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132638_0019_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132638_0019_V.JPG,1.297,2026-06-08 10:31:21
DJI_20260510132648_0020_V.JPG,DJI_20260510132648_0020_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132648_0020_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132648_0020_V.JPG,1.411,2026-06-08 10:31:21
DJI_20260510132701_0021_V.JPG,DJI_20260510132701_0021_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132701_0021_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E70\DJI_20260510132701_0021_V.JPG,1.361,2026-06-08 10:31:22
DJI_20260510132715_0022_V.JPG,DJI_20260510132715_0022_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E71\DJI_20260510132715_0022_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E71\DJI_20260510132715_0022_V.JPG,1.358,2026-06-08 10:31:22
